l2_rel_errors_interp,l1_rel_errors_interp,l2_rel_errors_no_interp,l1_rel_errors_no_interp,mean_l2_interp,std_l2_interp,mean_l1_interp,std_l1_interp,mean_l2_no_interp,std_l2_no_interp,mean_l1_no_interp,std_l1_no_interp
0.86491459608078,0.9320691823959351,1.2017145156860352,1.5738742351531982,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.903494656085968,1.062057614326477,1.0160516500473022,1.044546365737915,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
1.0515190362930298,1.291130542755127,1.3817812204360962,1.7912302017211914,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8945996761322021,0.9865676760673523,0.8482511639595032,0.8746688365936279,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9107666015625,0.864008367061615,0.9098360538482666,0.8815847635269165,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.7628925442695618,0.812862753868103,1.1996744871139526,1.4528350830078125,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9029409885406494,0.9521239399909973,0.9058212041854858,0.7914215326309204,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8146733045578003,0.8201397061347961,0.7608482837677002,0.6056902408599854,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9372625350952148,0.9735277891159058,0.99862140417099,0.9495264887809753,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8615054488182068,1.0155705213546753,1.5652107000350952,1.7349932193756104,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8003372550010681,0.8640163540840149,1.1792038679122925,1.3908848762512207,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9205572009086609,1.077821135520935,1.3581043481826782,1.7341428995132446,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9611534476280212,0.9991427063941956,0.9779760837554932,0.9568695425987244,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.7465932965278625,0.7594794034957886,1.2047525644302368,1.6014169454574585,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8318274021148682,0.7351190447807312,1.30263352394104,1.6466624736785889,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9252350926399231,1.0222177505493164,1.3901405334472656,1.8939827680587769,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9145268797874451,1.0500445365905762,1.2501745223999023,1.4752283096313477,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8979324102401733,1.0328145027160645,1.232056736946106,1.628438949584961,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8793997168540955,0.9415483474731445,1.3818013668060303,1.534595012664795,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9359690546989441,1.1405128240585327,1.0671145915985107,1.0771092176437378,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.7004102468490601,0.7025668025016785,1.0068390369415283,1.1555545330047607,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8661187887191772,0.9997261166572571,0.9855294227600098,1.0112813711166382,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8192077279090881,0.8196138143539429,1.216207504272461,1.4208970069885254,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9208500385284424,0.9682573080062866,1.322295904159546,1.6285065412521362,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8776162266731262,0.9640454053878784,1.003090500831604,0.8299075961112976,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.894845724105835,0.9273903965950012,1.4239312410354614,1.634226679801941,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9148702025413513,0.9599385261535645,1.3451268672943115,1.7436258792877197,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8430662155151367,0.9334189295768738,0.9105866551399231,0.9359065294265747,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9039968848228455,0.9507567286491394,1.2809455394744873,1.4911165237426758,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9464835524559021,0.8646591305732727,1.2696195840835571,1.7203822135925293,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8586598634719849,0.8953162431716919,0.930669903755188,0.8198832869529724,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9159947037696838,0.9374500513076782,1.0366182327270508,1.032524824142456,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8543673157691956,0.9864562749862671,1.2794837951660156,1.6220840215682983,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8743623495101929,0.9434658288955688,0.9727950096130371,0.8428128957748413,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
1.1191084384918213,1.2792243957519531,0.891722559928894,0.7936850786209106,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8364894390106201,0.8663443326950073,0.9691089391708374,1.071043610572815,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8991291522979736,0.9914236664772034,1.215466856956482,1.7654407024383545,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8563986420631409,0.7413902282714844,1.3620936870574951,1.6814093589782715,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.947311282157898,1.1428698301315308,1.2346254587173462,1.6075899600982666,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.7780764698982239,0.7549360990524292,0.9545592069625854,1.0305534601211548,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8712059855461121,0.9683768153190613,1.3622684478759766,1.647596836090088,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8760596513748169,0.9098271727561951,1.4013978242874146,1.8989461660385132,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8624799251556396,0.8571261763572693,1.361006259918213,1.7890558242797852,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9214787483215332,1.010740041732788,1.2807621955871582,1.6907294988632202,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8925654888153076,0.9550192356109619,0.9945496320724487,1.0229021310806274,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9527552127838135,1.0867033004760742,0.9153037667274475,0.8205574154853821,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.8724085688591003,0.7516606450080872,0.9545775651931763,0.9468913078308105,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9086148738861084,1.0323468446731567,1.2567166090011597,1.6885950565338135,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9061543941497803,1.085608720779419,1.493213176727295,1.9794949293136597,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
0.9209985733032227,1.0281656980514526,1.2721710205078125,1.6501134634017944,0.8866038,0.06730035,0.95295197,0.12478167,1.160701,0.19498578,1.3522605,0.38449305
